Algorithm,Training Time,Accuracy,Precision,Recall,F1 Score
RandomForest,29.6575,0.9916,0.9917,0.9916,0.9916
DecisionTree,16.3908,0.9789,0.979,0.9789,0.9789
SVM,135.8774,0.9784,0.9787,0.9784,0.9783
